subject	chain	generation	age	sex	group	pre	post	totalGameTime	finalScore	il	agreeIG	agreeOG	agreeTotal	agreeBias	agreeMaxIG	agreeMaxOG	obsIG	obsOG	obsTotal	obsBias	hammingIG	hammingOG	hammingDelta	IP_Hub_Country_Code	IP_Hub_ISP	IP_Hub_nonUSIP	IP_Hub_VPS	IP_Hub_recommend_block
188	3	5	58	Male	0	equal	less	194	56	11	24	12	36	IG	30	15	41	19	60	IG	25	26	-1	US	ATT-INTERNET4	0	0	0
189	3	5	58	Male	1	equal	equal	214	45	10	19	10	29	IG	22	24	30	30	60	Unbiased	29	34	-5	US	BHN-33363	0	0	0
190	3	5	25	Female	1	equal	less	129	29	5	22	15	37	IG	26	23	31	29	60	IG	21	26	-5	US	WOW-INTERNET	0	0	0
191	3	5	65	Female	1	equal	equal	222	53	12	35	8	43	IG	38	8	49	11	60	IG	21	24	-3	US	UUNET	0	0	0
192	3	6	41	Male	0	equal	equal	115	52	7	29	11	40	IG	31	13	42	18	60	IG	18	27	-9	US	OARNET-AS	0	0	0
193	3	6	25	Female	0	equal	equal	142	15	6	19	15	34	IG	27	26	30	30	60	Unbiased	25	24	1	US	COMCAST-7922	0	0	0
194	3	6	24	Male	0	less	equal	108	55	6	17	17	34	Unbiased	23	26	30	30	60	Unbiased	23	20	3	US	CABLE-NET-1	0	0	0
195	3	6	21	Female	1	equal	equal	190	60	15	17	18	35	OG	20	25	25	35	60	OG	27	28	-1	US	HARCOM1	0	0	0
196	3	6	37	Female	1	equal	idk	154	49	11	18	15	33	IG	28	17	35	25	60	IG	26	23	3	US	CHARTER-20115	0	0	0
197	3	6	69	Female	1	equal	equal	210	70	11	27	18	45	IG	28	21	35	25	60	IG	19	22	-3	US	CHARTER-20115	0	0	0
198	3	7	36	Male	0	equal	more	198	60	9	25	15	40	IG	32	23	34	26	60	IG	20	23	-3	US	AXCELX-NET	0	1	1
199	3	7	28	Female	0	equal	equal	121	45	11	1	30	31	OG	3	45	3	57	60	OG	25	28	-3	US	AS-WAVE-1	0	0	0
200	3	7	29	Male	0	equal	equal	223	51	10	15	20	35	OG	24	26	29	31	60	OG	33	28	5	US	CHARTER-20115	0	0	0
201	3	7	31	Male	1	equal	equal	115	63	12	29	12	41	IG	32	19	40	20	60	IG	20	27	-7	US	CELLCO-PART	0	0	0
202	3	7	27	Male	1	more	more	175	70	8	41	0	41	IG	45	2	58	2	60	IG	19	26	-7	US	TWC-11427-TEXAS	0	0	0
203	3	7	36	Female	1	more	less	147	37	9	25	15	40	IG	32	16	40	20	60	IG	22	19	3	US	T-MOBILE-AS21928	0	0	0
204	3	8	32	Male	0	equal	equal	112	45	12	11	16	27	OG	20	28	25	35	60	OG	35	39	-4	US	TWC-11426-CAROLINAS	0	0	0
205	3	8	38	Male	0	equal	equal	122	59	10	26	15	41	IG	30	22	37	23	60	IG	23	23	0	US	BHN-33363	0	0	0
206	3	8	45	Female	0	equal	idk	291	49	8	19	12	31	IG	27	20	36	24	60	IG	31	29	2	US	NGN	0	0	0
207	3	8	46	Female	1	more	more	158	64	9	43	3	46	IG	46	3	56	4	60	IG	14	28	-14	US	FRONTIER-FRTR	0	0	0
208	3	8	31	Female	1	more	more	143	53	13	32	13	45	IG	32	17	43	17	60	IG	17	23	-6	US	ATT-INTERNET4	0	0	0
209	3	8	39	Female	1	equal	more	174	73	7	45	0	45	IG	48	0	60	0	60	IG	15	25	-10	US	COMCAST-7922	0	0	0
210	3	9	46	Male	0	equal	less	129	47	12	36	0	36	IG	45	0	60	0	60	IG	24	33	-9	US	ATT-INTERNET4	0	0	0
211	3	9	31	Female	0	equal	equal	232	32	7	15	25	40	OG	23	31	25	35	60	OG	27	18	9	US	ASN-CXA-ALL-CCI-22773-RDC	0	0	0
212	3	9	28	Female	0	idk	idk	301	40	9	37	0	37	IG	45	0	60	0	60	IG	23	44	-21	US	FRONTIER-FRTR	0	0	0
213	3	9	60	Male	1	equal	equal	250	70	9	37	9	46	IG	41	11	47	13	60	IG	12	27	-15	US	COMCAST-7922	0	0	0
214	3	9	41	Female	1	more	equal	148	48	7	24	10	34	IG	42	12	45	15	60	IG	28	27	1	US	T-MOBILE-AS21928	0	0	0
215	3	9	38	Female	1	more	idk	212	60	12	26	13	39	IG	30	18	34	26	60	IG	16	27	-11	US	SUDDENLINK-COMMUNICATIONS	0	0	0
216	4	1	49	Male	0	equal	equal	201	54	11	34	9	43	IG	35	9	50	10	60	IG	19	27	-8	US	ZAYO-6461	0	1	1
217	4	1	35	Male	0	equal	equal	130	30	10	35	0	35	IG	45	0	60	0	60	IG	25	35	-10	US	TWC-11427-TEXAS	0	0	0
218	4	1	35	Female	0	idk	less	153	55	12	24	15	39	IG	27	20	36	24	60	IG	22	26	-4	US	COMCAST-7922	0	0	0
219	4	1	44	Female	1	equal	equal	270	40	13	13	8	21	IG	31	15	40	20	60	IG	39	35	4	US	NEXEON	0	1	1
220	4	1	49	Female	1	equal	less	252	69	11	20	20	40	Unbiased	24	20	33	27	60	IG	22	16	6	US	COMCAST-7922	0	0	0
221	4	1	30	Male	1	more	less	213	55	12	35	1	36	IG	44	1	59	1	60	IG	24	24	0	US	M247	0	1	1
222	4	2	33	Female	0	equal	less	177	61	10	35	9	44	IG	41	10	45	15	60	IG	20	21	-1	US	ATT-INTERNET4	0	0	0
223	4	2	68	Female	0	equal	equal	197	55	12	40	7	47	IG	41	9	47	13	60	IG	14	23	-9	US	TWC-11427-TEXAS	0	0	0
224	4	2	47	Female	0	equal	equal	188	50	11	4	10	14	OG	26	25	29	31	60	OG	49	40	9	US	T-MOBILE-AS21928	0	0	0
225	4	2	36	Male	1	equal	equal	168	46	11	32	0	32	IG	44	0	60	0	60	IG	28	33	-5	US	DPCHICO-1	0	0	0
226	4	2	29	Female	1	equal	idk	217	45	12	39	0	39	IG	44	0	60	0	60	IG	21	12	9	US	ATT-MOBILITY-LLC-AS20057	0	0	0
227	4	2	55	Female	1	equal	equal	175	45	12	22	20	42	IG	24	21	33	27	60	IG	19	12	7	US	WINDSTREAM	0	0	0
228	4	3	35	Female	0	equal	equal	133	60	13	28	0	28	IG	43	0	60	0	60	IG	32	28	4	US	BHN-33363	0	0	0
229	4	3	55	Male	0	equal	less	188	53	8	3	44	47	OG	3	48	4	56	60	OG	27	15	12	US	CABLE-NET-1	0	0	0
230	4	3	66	Female	0	equal	idk	346	40	9	24	14	38	IG	27	20	37	23	60	IG	22	20	2	US	TWC-10796-MIDWEST	0	0	0
231	4	3	39	Female	1	equal	less	210	37	10	36	8	44	IG	38	11	46	14	60	IG	11	25	-14	US	CHARTER-20115	0	0	0
232	4	3	33	Female	1	equal	equal	240	21	13	35	6	41	IG	44	6	52	8	60	IG	21	31	-10	US	T-MOBILE-AS21928	0	0	0
233	4	3	22	Male	1	equal	equal	131	70	13	36	10	46	IG	40	10	45	15	60	IG	16	20	-4	US	MERCERU-GA-ASN	0	0	0
234	4	4	22	Female	0	equal	equal	240	29	12	16	21	37	OG	23	27	26	34	60	OG	28	25	3	US	CHARTER-20115	0	0	0
235	4	4	27	Female	0	equal	less	116	45	8	19	13	32	IG	29	19	36	24	60	IG	30	31	-1	US	MIDCO-NET	0	0	0
236	4	4	29	Female	0	equal	equal	107	45	11	22	23	45	OG	25	23	32	28	60	IG	18	11	7	US	WPAFB-CSD-NET-AS	0	0	0
237	4	4	35	Male	1	equal	more	210	15	12	24	10	34	IG	31	20	40	20	60	IG	27	28	-1	US	SPCS	0	0	0
238	4	4	23	Female	1	equal	equal	174	52	9	18	16	34	IG	27	24	30	30	60	Unbiased	28	25	3	US	SUDDENLINK-COMMUNICATIONS	0	0	0
239	4	4	24	Male	1	equal	idk	140	47	10	17	24	41	OG	20	29	22	38	60	OG	15	18	-3	US	ATT-INTERNET4	0	0	0
240	4	5	45	Male	0	equal	equal	244	61	11	9	34	43	OG	10	37	10	50	60	OG	28	17	11	US	UUNET	0	0	0
241	4	5	77	Male	0	idk	equal	163	31	11	18	15	33	IG	25	22	30	30	60	Unbiased	26	25	1	US	BHN-33363	0	0	0
242	4	5	45	Male	0	equal	equal	388	60	7	22	18	40	IG	26	21	33	27	60	IG	23	20	3	US	CHARTER-20115	0	0	0
243	4	5	31	Female	1	idk	idk	136	60	10	35	11	46	IG	35	17	42	18	60	IG	18	23	-5	US	FRONTIER-FRTR	0	0	0
244	4	5	61	Female	1	equal	equal	167	60	11	26	13	39	IG	31	19	39	21	60	IG	24	29	-5	US	CABLE-NET-1	0	0	0
245	4	5	48	Female	1	idk	idk	243	22	10	21	11	32	IG	26	23	34	26	60	IG	24	29	-5	US	UUNET	0	0	0
246	4	6	52	Male	0	equal	more	147	60	15	13	21	34	OG	22	27	24	36	60	OG	22	26	-4	US	ITV-3	0	0	0
247	4	6	49	Female	0	equal	equal	166	58	8	37	2	39	IG	46	7	53	7	60	IG	20	30	-10	US	TWC-11351-NORTHEAST	0	0	0
248	4	6	28	Male	0	equal	equal	142	5	10	11	24	35	OG	18	31	21	39	60	OG	29	29	0	US	ATT-INTERNET4	0	0	0
249	4	6	60	Male	1	equal	equal	381	75	12	19	28	47	OG	22	30	26	34	60	OG	17	13	4	US	UUNET	0	0	0
250	4	6	33	Male	1	equal	more	109	22	12	9	27	36	OG	16	32	19	41	60	OG	28	22	6	US	MTAONLINE-AS	0	0	0
251	4	6	32	Male	1	more	equal	249	32	15	17	17	34	Unbiased	24	23	30	30	60	Unbiased	24	26	-2	US	CABLE-NET-1	0	0	0
252	4	7	38	Male	0	equal	less	139	35	9	12	13	25	OG	21	29	25	35	60	OG	34	36	-2	US	BVU-2	0	0	0
253	4	7	39	Male	0	more	idk	327	48	11	15	9	24	IG	20	28	26	34	60	OG	31	39	-8	CL	ASDETUK	1	1	1
254	4	7	25	Female	0	equal	equal	154	19	14	20	11	31	IG	26	24	32	28	60	IG	30	32	-2	US	Private or unnanounced IP	0	0	0
255	4	7	49	Male	1	equal	equal	212	30	9	11	19	30	OG	23	24	23	37	60	OG	31	27	4	US	COMCAST-7922	0	0	0
256	4	7	30	Male	1	more	less	246	56	13	21	16	37	IG	29	21	36	24	60	IG	23	25	-2	US	ATT-INTERNET4	0	0	0
257	4	7	36	Female	1	equal	equal	146	80	10	21	22	43	OG	25	24	28	32	60	OG	19	19	0	EG	Vodafone-	1	0	1
258	4	8	43	Female	0	equal	idk	199	40	6	16	15	31	IG	24	27	30	30	60	Unbiased	30	30	0	US	ATT-INTERNET4	0	0	0
259	4	8	56	Male	0	equal	equal	200	70	12	27	18	45	IG	27	20	40	20	60	IG	24	18	6	US	CHARTER-20115	0	0	0
260	4	8	24	Female	0	equal	equal	248	50	8	18	16	34	IG	24	26	32	28	60	IG	28	30	-2	US	GCI	0	0	0
261	4	8	30	Male	1	more	more	126	58	10	35	3	38	IG	38	12	45	15	60	IG	18	38	-20	US	ASN-CXA-ALL-CCI-22773-RDC	0	0	0
262	4	8	70	Male	1	more	idk	242	20	11	13	16	29	OG	26	26	29	31	60	OG	30	28	2	US	BELLSOUTH-NET-BLK	0	0	0
263	4	8	30	Male	1	equal	equal	701	29	11	13	14	27	OG	23	25	28	32	60	OG	33	33	0	US	MONTICELLO	0	0	0
264	4	9	28	Female	0	equal	equal	242	38	10	39	1	40	IG	43	2	57	3	60	IG	20	37	-17	US	HVC-AS	0	1	1
265	4	9	31	Male	0	equal	equal	230	54	13	22	23	45	OG	25	24	31	29	60	IG	28	21	7	US	COMCAST-7922	0	0	0
266	4	9	24	Female	0	idk	idk	316	32	10	26	11	37	IG	29	15	39	21	60	IG	28	31	-3	CA	TOTAL-SERVER-SOLUTIONS	1	1	1
267	4	9	35	Female	1	more	more	147	57	9	22	16	38	IG	26	20	40	20	60	IG	30	23	7	US	CHARTER-20115	0	0	0
268	4	9	36	Female	1	equal	less	409	18	14	16	23	39	OG	21	26	28	32	60	OG	29	22	7	SC	INT-NETWORK	1	0	1
269	4	9	19	Female	1	equal	less	106	53	12	17	17	34	Unbiased	23	23	32	28	60	IG	28	31	-3	US	WINDSTREAM	0	0	0
270	5	1	40	Female	0	more	more	200	66	9	37	4	41	IG	40	4	56	4	60	IG	22	22	0	HN	SOCIEDAD	1	1	1
271	5	1	18	Female	0	less	less	159	1	16	18	9	27	IG	28	19	36	24	60	IG	33	33	0	US	COMCAST-7922	0	0	0
272	5	1	30	Male	0	equal	equal	135	10	13	24	12	36	IG	29	21	39	21	60	IG	28	22	6	SC	INT-NETWORK	1	0	1
273	5	1	56	Male	1	equal	more	150	65	7	29	9	38	IG	33	10	45	15	60	IG	27	29	-2	US	COMCAST-7922	0	0	0
274	5	1	30	Male	1	equal	equal	188	60	9	2	34	36	OG	2	43	2	58	60	OG	20	24	-4	US	UUNET	0	0	0
275	5	1	24	Male	1	less	equal	406	22	11	21	14	35	IG	28	21	36	24	60	IG	26	28	-2	US	TIER-NET	0	0	0
276	5	2	60	Female	0	equal	equal	196	65	11	31	7	38	IG	34	8	49	11	60	IG	24	20	4	US	CHARTER-20115	0	0	0
277	5	2	30	Male	0	more	more	179	74	13	19	19	38	Unbiased	29	21	37	23	60	IG	25	17	8	US	TWC-11351-NORTHEAST	0	0	0
278	5	2	28	Female	0	equal	more	202	45	7	19	14	33	IG	28	24	33	27	60	IG	32	30	2	HN	SOCIEDAD	1	1	1
279	5	2	43	Male	1	equal	equal	298	73	9	24	17	41	IG	27	21	33	27	60	IG	20	26	-6	US	TWC-10796-MIDWEST	0	0	0
280	5	2	29	Male	1	equal	equal	121	65	12	28	18	46	IG	31	21	35	25	60	IG	16	20	-4	US	TWC-11427-TEXAS	0	0	0
281	5	2	24	Female	1	equal	less	215	5	7	13	16	29	OG	25	28	25	35	60	OG	28	32	-4	US	PEGTECHINC	0	0	0
282	5	3	23	Male	0	equal	equal	136	51	11	24	8	32	IG	35	13	46	14	60	IG	29	28	1	US	TWC-12271-NYC	0	0	0
283	5	3	38	Female	0	equal	equal	147	55	9	41	0	41	IG	46	0	60	0	60	IG	19	24	-5	US	COMCAST-7015	0	0	0
284	5	3	37	Male	0	equal	equal	123	68	11	34	0	34	IG	46	0	60	0	60	IG	26	21	5	US	UUNET	0	0	0
285	5	3	40	Female	1	equal	equal	185	75	11	31	14	45	IG	31	19	41	19	60	IG	16	19	-3	US	COMCAST-7922	0	0	0
286	5	3	38	Female	1	equal	equal	180	73	9	28	19	47	IG	28	21	36	24	60	IG	18	19	-1	US	COMCAST-7922	0	0	0
287	5	3	32	Female	1	more	less	243	30	11	16	15	31	IG	27	19	35	25	60	IG	27	28	-1	US	BELLSOUTH-NET-BLK	0	0	0
288	5	4	28	Male	0	more	more	191	85	8	31	15	46	IG	31	20	39	21	60	IG	15	21	-6	VE	Corporacion	1	0	1
289	5	4	32	Female	0	equal	equal	127	61	10	31	13	44	IG	34	16	43	17	60	IG	19	25	-6	US	DIRECTCOM	0	0	0
290	5	4	30	Female	0	equal	equal	189	73	12	26	22	48	IG	27	24	34	26	60	IG	17	19	-2	US	RCN-AS	0	0	0
291	5	4	36	Male	1	more	equal	350	38	8	16	15	31	IG	28	27	31	29	60	IG	30	28	2	US	CMCS	0	0	0
292	5	4	28	Male	1	equal	less	160	63	10	19	20	39	OG	28	22	34	26	60	IG	23	21	2	US	HYPEENT-SJ	0	1	1
293	5	4	42	Male	1	equal	less	187	25	10	15	10	25	IG	31	21	36	24	60	IG	37	33	4	US	CHARTER-20115	0	0	0
294	5	5	22	Male	0	equal	equal	126	70	8	28	19	47	IG	29	24	31	29	60	IG	7	24	-17	US	ZAYO-6461	0	1	1
295	5	5	20	Female	0	equal	more	200	90	9	36	12	48	IG	38	21	39	21	60	IG	9	30	-21	US	CHARTER-20115	0	0	0
296	5	5	39	Female	0	equal	equal	441	53	7	18	20	38	OG	27	24	29	31	60	OG	18	27	-9	US	CELLCO-PART	0	0	0
297	5	5	27	Female	1	equal	less	153	72	11	16	27	43	OG	23	29	30	30	60	Unbiased	26	9	17	US	HOSTINGSERVICES-INC	0	1	1
298	5	5	23	Male	1	idk	equal	234	41	9	23	12	35	IG	25	22	35	25	60	IG	27	28	-1	US	SHENTEL	0	0	0
299	5	5	37	Female	1	equal	equal	193	34	10	18	13	31	IG	25	32	28	32	60	OG	26	25	1	US	COMCAST-7922	0	0	0
300	5	6	32	Female	0	equal	equal	251	-1	13	26	0	26	IG	52	0	60	0	60	IG	34	32	2	US	AS40676	0	1	1
301	5	6	28	Male	0	more	less	129	40	9	22	12	34	IG	33	21	35	25	60	IG	25	33	-8	US	HYPEENT-SJ	0	1	1
302	5	6	24	Male	0	equal	more	201	48	12	22	15	37	IG	33	17	37	23	60	IG	23	23	0	BZ	SOCIEDAD	1	1	1
303	5	6	38	Male	1	equal	more	159	40	9	25	11	36	IG	32	17	43	17	60	IG	23	21	2	US	AVAST-AS-DC	0	1	1
304	5	6	22	Male	1	more	less	155	64	5	31	14	45	IG	36	14	45	15	60	IG	19	11	8	US	COMCAST-7922	0	0	0
305	5	6	30	Female	1	more	less	186	49	11	22	22	44	Unbiased	25	26	33	27	60	IG	24	20	4	US	AS40676	0	1	1
306	5	7	42	Male	0	equal	equal	171	10	7	33	0	33	IG	43	0	60	0	60	IG	27	31	-4	US	SPJC	0	0	0
307	5	7	29	Male	0	idk	equal	219	45	9	18	19	37	OG	24	26	30	30	60	Unbiased	26	26	0	US	ASN-QUADRANET-GLOBAL	0	1	1
308	5	7	32	Male	0	equal	equal	166	48	12	5	35	40	OG	6	42	8	52	60	OG	27	21	6	US	CMCS	0	0	0
309	5	7	27	Female	1	more	more	210	43	8	21	11	32	IG	28	21	33	27	60	IG	22	30	-8	US	ATT-INTERNET4	0	0	0
310	5	7	24	Female	1	less	equal	226	45	11	14	18	32	OG	21	27	23	37	60	OG	28	32	-4	US	DACEN-2	0	1	1
311	5	7	31	Female	1	equal	equal	139	60	9	45	2	47	IG	46	2	58	2	60	IG	13	27	-14	US	ATT-INTERNET4	0	0	0
312	5	8	33	Female	0	equal	less	320	35	8	20	21	41	OG	25	25	29	31	60	OG	18	23	-5	US	UUNET	0	0	0
313	5	8	30	Male	0	equal	less	211	41	10	7	30	37	OG	9	37	12	48	60	OG	26	23	3	US	LEE-BOCC-AS	0	0	0
314	5	8	40	Male	0	equal	equal	198	53	9	42	1	43	IG	46	1	58	2	60	IG	18	23	-5	US	TWC-11427-TEXAS	0	0	0
315	5	8	23	Male	1	more	equal	246	35	10	4	33	37	OG	4	43	4	56	60	OG	25	24	1	US	PEGTECHINC	0	0	0
316	5	8	32	Male	1	more	equal	110	15	12	39	2	41	IG	45	2	58	2	60	IG	21	20	1	SE	HERNLABS	1	1	1
317	5	8	33	Female	1	equal	equal	148	60	6	27	18	45	IG	27	22	34	26	60	IG	18	23	-5	US	WISCNET1-AS	0	0	0
318	5	9	35	Male	0	equal	equal	172	7	8	14	13	27	IG	26	25	30	30	60	Unbiased	36	37	-1	US	ATT-INTERNET4	0	0	0
319	5	9	45	Male	0	equal	less	130	50	6	22	25	47	OG	25	26	30	30	60	Unbiased	15	18	-3	US	COMCAST-7922	0	0	0
320	5	9	25	Male	0	equal	equal	175	58	10	27	13	40	IG	33	15	41	19	60	IG	21	18	3	US	CHARTER-20115	0	0	0
321	5	9	35	Male	1	equal	equal	186	44	9	27	19	46	IG	28	22	35	25	60	IG	20	19	1	US	UUNET	0	0	0
322	5	9	24	Male	1	equal	less	169	47	9	25	13	38	IG	32	19	39	21	60	IG	23	28	-5	GY	U	1	0	1
323	5	9	33	Male	1	equal	equal	152	45	10	28	20	48	IG	31	20	38	22	60	IG	21	12	9	US	MEDIACOM-ENTERPRISE-BUSINESS	0	0	0
