subject	condition	generation	index	age	sex	group	rabbit	machine	scores	pre	post	chosen	chosenInput	useMachine	output	score	gameTime	surveyTime
54	1	1	0	34	Male	0	0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0	0,0,1,1,1,1,0,1,0,1,1,1,0,1,0,0,0,0,1,0	5,-2,3,3,5,3;5,1,8,8,5,8;5,-1,8,11,5,13;5,2,8,16,8,16;5,0,6,21,13,16;10,3,6,24,13,21;15,1,9,22,18,24;18,-1,14,20,18,27;21,2,19,23,18,30;24,2,24,26,18,33;22,0,27,29,23,31;20,-2,32,32,23,34;23,-4,37,37,23,37;26,-1,42,42,28,40;26,2,42,45,33,43;24,0,40,45,33,41;27,3,40,48,38,44;30,6,40,46,38,47;33,9,40,46,38,45;31,12,40,46,43,48	3,3,3,2,2,2,2,3	3,3,2,2,3,3,3,3	1,2;1,0;2,0;0,2;0,2;0,2;0,2;2,0;0,2;2,1;0,1;0,1;1,2;0,2;0,1;2,1;1,2;1,2;0,2;2,1	1,0;0,1;0,0;0,0;0,0;1,0;1,1;1,1;1,1;1,0;0,0;0,0;0,1;1,1;1,0;1,1;0,1;0,1;0,1;1,0	0,1,1,0,1,0,1,1,1,1,0,0,0,0,1,1,0,0,0,0	0,0,1,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0	5,8,11,11,14,14,12,15,13,16,16,16,16,21,24,27,32,37,42,47	24,17,9,7,9,8,8,8,7,14,6,7,118,6,11,14,6,7,9,11	17,12
55	1	1	1	30	Male	0	0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0	0,1,1,1,0,0,1,1,0,1,0,1,1,1,0,0,0,0,0,0	5,-2,3,3,5,3;5,1,8,8,5,8;5,-1,8,11,5,13;5,2,8,16,8,16;5,0,6,21,13,16;10,3,6,24,13,21;15,1,9,22,18,24;18,-1,14,20,18,27;21,2,19,23,18,30;24,2,24,26,18,33;22,0,27,29,23,31;20,-2,32,32,23,34;23,-4,37,37,23,37;26,-1,42,42,28,40;26,2,42,45,33,43;24,0,40,45,33,41;27,3,40,48,38,44;30,6,40,46,38,47;33,9,40,46,38,45;31,12,40,46,43,48	4,4,2,5,3,3,4,4	4,3,4,3,3,3,4,4	2,1;2,1;2,1;0,1;1,0;2,0;2,1;2,1;0,2;2,1;2,1;4,5;1,2;0,1;0,2;1,2;0,2;0,2;2,0;2,1	0,1;0,0;0,0;0,1;0,0;0,1;1,0;1,0;1,1;1,0;1,0;0,1;0,1;1,1;1,1;1,1;0,1;0,1;1,0;1,0	1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1	0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0	3,6,4,2,0,0,-2,-4,-6,-8,-5,-7,-9,-6,-3,0,3,6,9,12	20,20,12,8,12,12,6,6,7,9,16,8,7,7,10,6,6,6,6,8	20,17
56	1	1	2	25	Male	0	0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0	0,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,1,0	5,-2,3,3,5,3;5,1,8,8,5,8;5,-1,8,11,5,13;5,2,8,16,8,16;5,0,6,21,13,16;10,3,6,24,13,21;15,1,9,22,18,24;18,-1,14,20,18,27;21,2,19,23,18,30;24,2,24,26,18,33;22,0,27,29,23,31;20,-2,32,32,23,34;23,-4,37,37,23,37;26,-1,42,42,28,40;26,2,42,45,33,43;24,0,40,45,33,41;27,3,40,48,38,44;30,6,40,46,38,47;33,9,40,46,38,45;31,12,40,46,43,48	2,3,4,5,3,4,4,4	4,3,5,4,4,3,4,2	2,1;4,5;2,5;4,0;1,2;2,1;0,5;1,5;4,3;1,4;0,4;2,5;0,4;5,2;2,0;2,1;3,5;1,2;1,5;1,2	0,1;1,0;0,1;1,0;0,0;0,1;1,1;0,1;0,1;0,0;0,1;1,1;1,0;1,1;1,1;1,1;0,0;0,1;0,1;0,1	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	0,1,0,1,0,1,1,0,0,0,0,1,0,1,1,1,0,0,1,0	5,5,5,10,10,15,20,20,20,20,20,25,25,30,30,30,35,40,40,45	14,7,8,6,8,6,8,39,15,69,10,30,8,8,6,6,6,5,8,8	13,12
57	1	1	3	45	Female	1	0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0	0,0,1,1,0,1,1,1,0,1,1,1,1,0,0,1,1,0,1,1	5,-2,3,3,5,3;5,1,8,8,5,8;5,-1,8,11,5,13;5,2,8,16,8,16;5,0,6,21,13,16;10,3,6,24,13,21;15,1,9,22,18,24;18,-1,14,20,18,27;21,2,19,23,18,30;24,2,24,26,18,33;22,0,27,29,23,31;20,-2,32,32,23,34;23,-4,37,37,23,37;26,-1,42,42,28,40;26,2,42,45,33,43;24,0,40,45,33,41;27,3,40,48,38,44;30,6,40,46,38,47;33,9,40,46,38,45;31,12,40,46,43,48	4,5,3,4,4,4,5,3	4,4,5,3,5,3,4,4	4,0;3,1;1,4;2,4;5,2;2,4;5,2;1,3;1,5;1,3;5,2;3,1;2,5;1,0;4,0;3,2;5,2;5,0;4,1;3,0	0,0;0,0;0,0;0,1;0,0;0,0;1,1;0,0;1,1;0,1;0,1;1,0;1,1;1,1;0,1;1,1;0,1;0,0;1,0;1,1	1,1,1,1,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0	0,1,0,1,0,0,1,0,0,1,0,1,1,1,0,1,0,0,1,1	3,1,-1,2,0,-2,3,3,3,6,6,11,16,19,24,24,29,34,34,34	12,8,8,5,9,14,6,4,4,7,4,5,4,5,10,4,4,4,4,9	10,8
58	1	1	4	45	Female	1	0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0	1,1,0,1,0,0,1,1,1,1,0,0,1,0,0,1,0,0,1,1	5,-2,3,3,5,3;5,1,8,8,5,8;5,-1,8,11,5,13;5,2,8,16,8,16;5,0,6,21,13,16;10,3,6,24,13,21;15,1,9,22,18,24;18,-1,14,20,18,27;21,2,19,23,18,30;24,2,24,26,18,33;22,0,27,29,23,31;20,-2,32,32,23,34;23,-4,37,37,23,37;26,-1,42,42,28,40;26,2,42,45,33,43;24,0,40,45,33,41;27,3,40,48,38,44;30,6,40,46,38,47;33,9,40,46,38,45;31,12,40,46,43,48	5,4,4,5,5,4,4,5	5,4,4,5,5,4,4,5	4,5;3,4;5,3;4,3;4,3;5,4;3,5;5,4;3,4;5,3;5,4;5,3;4,5;5,3;5,4;3,5;4,3;5,4;3,5;4,3	0,0;0,1;1,1;1,1;1,1;1,0;0,1;1,0;1,0;1,1;0,1;1,1;0,1;1,1;0,0;1,1;0,0;0,1;1,1;0,1	1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1	1,1,0,1,0,0,1,1,1,1,0,0,1,0,0,1,0,0,1,1	-2,-4,-6,-3,-5,-7,-4,-1,2,5,3,1,4,2,5,3,6,9,7,5	15,11,12,8,18,20,17,10,9,8,7,12,7,11,8,7,8,7,7,7	19,14
59	1	1	5	23	Male	1	0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0	1,1,0,1,0,1,1,1,1,1,0,1,1,1,0,0,0,0,1,0	5,-2,3,3,5,3;5,1,8,8,5,8;5,-1,8,11,5,13;5,2,8,16,8,16;5,0,6,21,13,16;10,3,6,24,13,21;15,1,9,22,18,24;18,-1,14,20,18,27;21,2,19,23,18,30;24,2,24,26,18,33;22,0,27,29,23,31;20,-2,32,32,23,34;23,-4,37,37,23,37;26,-1,42,42,28,40;26,2,42,45,33,43;24,0,40,45,33,41;27,3,40,48,38,44;30,6,40,46,38,47;33,9,40,46,38,45;31,12,40,46,43,48	5,4,4,5,5,4,4,4	4,4,4,5,4,4,3,4	4,3;1,3;0,1;3,4;0,2;0,1;3,0;3,1;5,0;0,1;0,1;2,0;4,3;4,3;1,2;1,0;4,5;1,2;1,2;5,3	0,0;0,0;0,0;1,1;0,0;1,1;0,1;0,0;1,1;1,0;0,0;1,0;0,1;1,1;0,1;1,1;0,0;0,1;0,1;0,1	1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1	1,1,0,1,0,1,1,1,1,1,0,1,1,1,0,0,0,0,1,0	-2,-4,-6,-3,-5,-2,1,4,7,10,8,11,14,19,22,25,28,31,29,32	29,16,9,10,22,8,7,7,8,12,7,6,6,9,9,6,6,6,6,8	25,16
60	1	2	0	40	Female	0	0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0	0,1,1,1,1,1,0,0,1,1,1,0,1,1,0,0,1,0,0,0	5,3,5,3,-2,-2;8,6,5,1,-4,-4;11,4,5,-1,-6,-6;11,2,10,2,-3,-3;14,0,10,0,-5,-5;14,0,15,-2,-7,-2;12,-2,20,3,-4,1;15,-4,20,3,-1,4;13,-6,20,3,2,7;16,-8,20,6,5,10;16,-5,20,6,3,8;16,-7,25,11,1,11;16,-9,25,16,4,14;21,-6,30,19,2,19;24,-3,30,24,5,22;27,0,30,24,3,25;32,3,35,29,6,28;37,6,40,34,9,31;42,9,40,34,7,29;47,12,45,34,5,32	4,4,2,3,3,3,2,2	4,3,2,3,4,2,2,3	0,1;2,3;0,2;5,3;0,2;0,2;3,0;3,4;0,2;3,5;2,1;0,1;0,1;4,2;1,2;2,1;4,0;4,5;2,0;1,0	0,0;1,1;1,0;1,1;1,0;0,1;1,0;0,1;0,0;1,1;0,1;0,0;0,0;0,1;0,1;1,0;0,0;0,0;1,0;0,0	0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1	0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0	5,8,11,9,12,15,13,11,9,7,10,8,6,4,7,10,8,11,14,17	30,13,17,11,18,10,10,8,9,9,10,8,8,9,9,9,10,7,10,8	22,16
61	1	2	1	41	Male	0	0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0	0,0,1,1,1,1,1,0,0,0,1,1,1,0,1,0,0,1,0,1	5,3,5,3,-2,-2;8,6,5,1,-4,-4;11,4,5,-1,-6,-6;11,2,10,2,-3,-3;14,0,10,0,-5,-5;14,0,15,-2,-7,-2;12,-2,20,3,-4,1;15,-4,20,3,-1,4;13,-6,20,3,2,7;16,-8,20,6,5,10;16,-5,20,6,3,8;16,-7,25,11,1,11;16,-9,25,16,4,14;21,-6,30,19,2,19;24,-3,30,24,5,22;27,0,30,24,3,25;32,3,35,29,6,28;37,6,40,34,9,31;42,9,40,34,7,29;47,12,45,34,5,32	3,3,3,3,4,4,3,4	5,5,4,4,4,4,4,4	0,2;5,3;4,2;0,5;3,1;3,0;4,0;0,2;5,4;1,5;4,0;5,0;4,2;5,3;4,1;3,4;3,4;0,2;1,2;3,0	0,0;1,1;0,0;0,1;0,0;0,0;1,0;1,0;1,1;0,1;0,0;1,0;1,0;1,1;0,0;1,1;0,0;0,0;0,1;1,0	1,0,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,0,0,0	0,1,0,1,0,0,1,1,0,0,0,1,0,1,0,1,0,0,0,0	3,3,1,4,2,0,3,6,4,2,0,3,3,8,11,11,16,21,26,31	20,14,9,8,10,8,7,7,7,10,7,7,6,6,8,7,6,6,7,10	19,13
62	1	2	2	25	Female	0	0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0	0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,1,1,0,0,1	5,3,5,3,-2,-2;8,6,5,1,-4,-4;11,4,5,-1,-6,-6;11,2,10,2,-3,-3;14,0,10,0,-5,-5;14,0,15,-2,-7,-2;12,-2,20,3,-4,1;15,-4,20,3,-1,4;13,-6,20,3,2,7;16,-8,20,6,5,10;16,-5,20,6,3,8;16,-7,25,11,1,11;16,-9,25,16,4,14;21,-6,30,19,2,19;24,-3,30,24,5,22;27,0,30,24,3,25;32,3,35,29,6,28;37,6,40,34,9,31;42,9,40,34,7,29;47,12,45,34,5,32	5,5,5,5,3,3,3,3	5,5,5,5,3,3,3,3	2,5;5,1;1,5;3,2;3,0;3,2;5,1;2,4;5,2;1,5;5,2;3,2;2,4;0,4;5,1;0,4;3,0;1,4;5,1;0,3	0,1;1,0;0,0;1,1;0,1;0,1;1,0;0,1;1,0;0,1;0,0;1,1;0,1;1,0;0,0;0,1;0,0;0,0;1,0;0,1	1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1	0,1,0,1,1,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1	3,1,-1,2,5,8,6,4,7,5,3,6,4,2,5,3,6,9,12,10	18,10,8,9,7,7,8,7,6,6,10,7,7,8,8,7,6,6,6,6	13,10
63	1	2	3	52	Male	1	0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0	0,0,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,1,0,0	5,3,5,3,-2,-2;8,6,5,1,-4,-4;11,4,5,-1,-6,-6;11,2,10,2,-3,-3;14,0,10,0,-5,-5;14,0,15,-2,-7,-2;12,-2,20,3,-4,1;15,-4,20,3,-1,4;13,-6,20,3,2,7;16,-8,20,6,5,10;16,-5,20,6,3,8;16,-7,25,11,1,11;16,-9,25,16,4,14;21,-6,30,19,2,19;24,-3,30,24,5,22;27,0,30,24,3,25;32,3,35,29,6,28;37,6,40,34,9,31;42,9,40,34,7,29;47,12,45,34,5,32	5,5,5,4,4,4,3,3	5,5,5,4,4,5,4,4	5,4;5,3;1,3;3,5;3,4;5,4;5,3;4,3;4,5;4,5;5,3;3,4;3,4;3,5;3,5;4,3;5,4;3,4;4,5;3,5	1,1;1,1;0,0;1,1;0,0;1,0;1,1;1,0;1,1;1,1;0,0;1,0;1,1;1,1;0,0;1,1;0,0;0,0;1,1;1,0	0,0,0,0,0,1,1,0,1,1,1,1,1,0,0,0,0,0,0,0	1,0,1,0,0,1,0,1,1,1,1,0,1,1,0,1,0,0,1,1	0,5,10,10,10,13,11,16,19,22,25,23,26,31,36,36,41,46,46,46	24,11,11,8,10,9,13,7,6,10,6,7,10,7,9,7,7,7,6,10	27,11
64	1	2	4	30	Female	1	0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0	0,0,1,1,0,1,0,1,1,0,1,1,1,1,0,0,1,0,0,0	5,3,5,3,-2,-2;8,6,5,1,-4,-4;11,4,5,-1,-6,-6;11,2,10,2,-3,-3;14,0,10,0,-5,-5;14,0,15,-2,-7,-2;12,-2,20,3,-4,1;15,-4,20,3,-1,4;13,-6,20,3,2,7;16,-8,20,6,5,10;16,-5,20,6,3,8;16,-7,25,11,1,11;16,-9,25,16,4,14;21,-6,30,19,2,19;24,-3,30,24,5,22;27,0,30,24,3,25;32,3,35,29,6,28;37,6,40,34,9,31;42,9,40,34,7,29;47,12,45,34,5,32	4,5,5,4,4,5,5,4	4,5,5,4,4,5,5,4	4,3;3,5;5,3;5,4;4,3;4,5;5,3;4,3;5,3;4,5;3,4;3,5;3,5;4,5;4,3;4,3;4,3;5,4;4,5;3,4	1,0;1,1;0,0;1,1;0,0;0,1;1,1;1,0;1,0;1,1;0,0;1,1;1,1;0,1;0,0;1,1;0,0;0,0;1,1;1,1	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	0,1,0,1,0,1,1,0,0,1,0,1,1,1,0,1,0,0,1,1	5,5,5,10,10,15,20,20,20,25,25,30,35,40,45,45,50,55,55,55	31,14,9,8,16,11,8,7,7,11,7,8,8,8,13,7,7,8,7,8	40,16
65	1	2	5	31	Female	1	0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0	0,0,0,1,0,1,0,1,0,1,1,1,1,1,1,0,1,0,0,1	5,3,5,3,-2,-2;8,6,5,1,-4,-4;11,4,5,-1,-6,-6;11,2,10,2,-3,-3;14,0,10,0,-5,-5;14,0,15,-2,-7,-2;12,-2,20,3,-4,1;15,-4,20,3,-1,4;13,-6,20,3,2,7;16,-8,20,6,5,10;16,-5,20,6,3,8;16,-7,25,11,1,11;16,-9,25,16,4,14;21,-6,30,19,2,19;24,-3,30,24,5,22;27,0,30,24,3,25;32,3,35,29,6,28;37,6,40,34,9,31;42,9,40,34,7,29;47,12,45,34,5,32	5,4,4,5,4,4,5,5	5,4,5,5,5,4,4,5	4,2;2,5;4,3;4,1;4,0;5,0;0,4;1,5;0,3;4,0;3,1;1,4;1,4;2,3;5,1;5,2;5,0;5,1;4,1;4,2	1,0;1,1;0,0;1,0;0,1;1,0;0,1;0,1;0,0;1,1;0,1;0,0;0,1;1,1;0,0;0,1;0,0;0,0;1,0;1,0	0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	1,1,0,1,1,1,1,0,0,1,1,1,0,1,0,1,0,0,0,1	0,-2,-4,1,6,11,16,16,16,21,26,31,31,36,41,41,46,51,56,56	30,12,12,15,10,11,6,5,5,14,7,5,5,5,14,10,21,49,5,7	21,13
66	1	3	0	30	Male	0	0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0	0,0,1,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,1,1	5,3,3,0,5,0;8,3,1,5,5,-2;11,1,-1,10,5,-4;9,4,2,10,10,1;12,2,5,10,10,6;15,0,8,13,15,11;13,3,6,11,20,16;11,6,4,16,20,16;9,4,7,19,20,16;7,2,5,22,25,21;10,0,3,25,25,26;8,3,6,23,30,31;6,3,4,26,35,31;4,8,2,31,40,36;7,11,5,36,45,41;10,11,3,36,45,41;8,16,6,41,50,46;11,21,9,46,55,51;14,26,12,46,55,56;17,31,10,46,55,56	5,5,5,5,2,3,4,2	5,5,5,5,4,4,5,4	1,0;3,0;2,0;0,1;3,5;0,1;3,4;1,2;4,3;2,0;1,0;5,3;0,2;2,0;0,1;1,2;0,2;2,1;1,0;1,2	0,0;0,0;0,1;0,1;0,1;1,0;0,1;1,0;0,1;0,0;0,1;1,0;0,0;0,0;0,0;1,1;1,0;0,0;0,0;0,1	1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1	0,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0	3,1,4,7,5,3,6,9,7,5,3,1,-1,-3,0,3,6,9,12,15	16,12,13,9,24,11,11,10,11,14,10,15,11,13,8,7,8,8,9,8	21,17
67	1	3	1	22	Male	0	0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0	0,1,0,1,1,1,1,1,1,1,0,0,0,1,1,0,0,0,0,0	5,3,3,0,5,0;8,3,1,5,5,-2;11,1,-1,10,5,-4;9,4,2,10,10,1;12,2,5,10,10,6;15,0,8,13,15,11;13,3,6,11,20,16;11,6,4,16,20,16;9,4,7,19,20,16;7,2,5,22,25,21;10,0,3,25,25,26;8,3,6,23,30,31;6,3,4,26,35,31;4,8,2,31,40,36;7,11,5,36,45,41;10,11,3,36,45,41;8,16,6,41,50,46;11,21,9,46,55,51;14,26,12,46,55,56;17,31,10,46,55,56	4,5,4,5,3,3,2,4	3,4,4,4,3,3,4,4	2,0;0,3;2,3;5,4;2,0;0,1;3,5;3,2;5,4;2,5;4,5;4,2;5,3;4,0;2,1;2,5;2,1;0,5;5,4;0,4	0,0;0,0;0,1;1,1;1,1;1,0;0,1;1,0;0,0;0,1;0,1;1,1;0,1;1,0;0,0;1,1;0,0;0,0;0,1;0,1	0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0	0,1,0,0,1,0,1,0,1,0,0,0,1,0,0,1,0,1,1,0	5,5,5,5,10,10,13,13,18,18,18,18,23,23,28,28,33,33,33,38	41,16,13,8,19,8,10,11,8,13,10,9,8,9,15,80,8,9,8,24	32,34
68	1	3	2	34	Male	0	0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0	0,0,1,1,1,1,0,0,1,1,0,1,1,0,0,0,1,0,0,0	5,3,3,0,5,0;8,3,1,5,5,-2;11,1,-1,10,5,-4;9,4,2,10,10,1;12,2,5,10,10,6;15,0,8,13,15,11;13,3,6,11,20,16;11,6,4,16,20,16;9,4,7,19,20,16;7,2,5,22,25,21;10,0,3,25,25,26;8,3,6,23,30,31;6,3,4,26,35,31;4,8,2,31,40,36;7,11,5,36,45,41;10,11,3,36,45,41;8,16,6,41,50,46;11,21,9,46,55,51;14,26,12,46,55,56;17,31,10,46,55,56	4,4,1,4,4,4,1,4	4,4,1,4,4,4,1,4	0,4;2,0;3,5;1,2;2,0;0,2;3,0;2,4;5,1;3,0;4,3;0,1;3,5;0,1;0,5;4,5;3,4;0,2;5,4;5,4	0,0;1,0;1,0;1,1;1,1;1,1;0,0;0,0;0,0;1,0;0,1;0,1;1,0;0,1;0,0;1,1;0,0;0,0;0,1;1,1	0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0	0,1,1,1,1,1,0,0,1,0,1,0,1,0,0,1,1,0,1,1	5,5,10,15,20,25,25,25,28,28,33,33,38,38,43,43,43,48,48,48	23,17,5,5,15,4,4,10,6,7,4,5,4,4,6,3,3,3,3,9	18,10
69	1	3	3	43	Female	1	0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0	0,0,0,1,1,1,0,1,1,1,0,1,1,1,0,1,0,1,1,0	5,3,3,0,5,0;8,3,1,5,5,-2;11,1,-1,10,5,-4;9,4,2,10,10,1;12,2,5,10,10,6;15,0,8,13,15,11;13,3,6,11,20,16;11,6,4,16,20,16;9,4,7,19,20,16;7,2,5,22,25,21;10,0,3,25,25,26;8,3,6,23,30,31;6,3,4,26,35,31;4,8,2,31,40,36;7,11,5,36,45,41;10,11,3,36,45,41;8,16,6,41,50,46;11,21,9,46,55,51;14,26,12,46,55,56;17,31,10,46,55,56	5,4,4,5,3,4,4,4	4,4,4,4,4,4,4,3	3,4;4,0;5,3;4,5;1,3;4,5;3,0;5,3;1,3;0,4;1,5;1,4;1,3;3,4;4,2;1,5;0,5;2,4;0,4;2,3	1,0;1,0;0,1;1,1;0,0;1,1;0,0;0,1;0,1;0,1;0,1;1,1;0,1;1,1;0,0;1,1;1,0;0,0;0,1;1,1	1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1	0,0,0,1,0,1,0,1,1,1,0,1,1,1,0,1,0,1,1,0	3,6,4,7,5,8,6,9,12,15,13,16,19,22,25,23,26,24,22,25	26,14,13,11,36,13,12,12,14,15,15,12,10,11,12,14,14,12,11,66	23,19
70	1	3	4	35	Male	1	0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0	0,0,0,0,1,1,0,1,1,1,0,0,1,0,0,0,0,0,0,0	5,3,3,0,5,0;8,3,1,5,5,-2;11,1,-1,10,5,-4;9,4,2,10,10,1;12,2,5,10,10,6;15,0,8,13,15,11;13,3,6,11,20,16;11,6,4,16,20,16;9,4,7,19,20,16;7,2,5,22,25,21;10,0,3,25,25,26;8,3,6,23,30,31;6,3,4,26,35,31;4,8,2,31,40,36;7,11,5,36,45,41;10,11,3,36,45,41;8,16,6,41,50,46;11,21,9,46,55,51;14,26,12,46,55,56;17,31,10,46,55,56	2,1,1,2,2,2,1,2	2,2,1,2,1,1,2,1	4,5;4,3;1,2;2,1;1,0;1,2;1,0;0,2;0,1;0,1;1,0;1,2;3,5;3,4;3,4;3,4;0,2;0,1;5,3;2,5	0,1;1,0;0,0;1,1;0,1;0,1;1,0;0,0;0,0;0,0;0,1;1,1;1,0;1,1;0,0;1,1;1,0;0,0;0,1;1,1	1,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0	1,0,1,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,1	-2,3,6,4,2,0,-2,-4,-6,-8,-10,-5,0,5,5,5,10,15,20,20	61,48,25,13,18,13,12,14,20,18,16,12,18,12,12,10,12,12,12,12	85,32
71	1	3	5	36	Male	1	0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0	1,0,1,1,0,1,1,0,1,1,1,0,1,1,1,0,0,0,0,1	5,3,3,0,5,0;8,3,1,5,5,-2;11,1,-1,10,5,-4;9,4,2,10,10,1;12,2,5,10,10,6;15,0,8,13,15,11;13,3,6,11,20,16;11,6,4,16,20,16;9,4,7,19,20,16;7,2,5,22,25,21;10,0,3,25,25,26;8,3,6,23,30,31;6,3,4,26,35,31;4,8,2,31,40,36;7,11,5,36,45,41;10,11,3,36,45,41;8,16,6,41,50,46;11,21,9,46,55,51;14,26,12,46,55,56;17,31,10,46,55,56	5,4,4,5,4,3,4,4	5,5,5,5,5,5,5,5	5,3;0,3;1,3;3,0;0,5;5,0;5,4;5,4;5,4;5,3;3,4;4,5;4,5;3,5;5,3;3,4;3,5;5,3;4,5;0,3	1,1;0,0;0,1;0,0;1,1;1,1;1,1;0,0;0,0;1,1;1,0;1,1;1,0;1,1;0,0;1,1;0,0;0,0;1,0;0,1	0,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1	0,1,1,0,0,1,1,0,0,1,1,1,1,1,1,0,0,0,0,1	5,3,6,6,4,7,10,8,6,9,12,15,18,23,21,24,27,30,33,31	12,10,7,7,10,6,7,8,7,7,7,6,6,6,6,10,7,6,6,7	12,8
72	1	4	0	38	Male	0	0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0	0,0,1,1,1,0,1,1,1,1,1,1,0,1,0,0,0,0,0,0	3,5,5,3,-2,5;1,5,5,6,3,3;4,5,10,4,6,6;7,5,15,7,4,6;5,10,20,5,2,4;3,10,25,8,0,7;6,13,25,6,-2,10;9,13,25,9,-4,8;7,18,28,12,-6,6;5,18,28,15,-8,9;3,18,33,13,-10,12;1,18,33,16,-5,15;-1,23,38,19,0,18;-3,23,38,22,5,23;0,28,43,25,5,21;3,28,43,23,5,24;6,33,43,26,10,27;9,33,48,24,15,30;12,33,48,22,20,33;15,38,48,25,20,31	5,5,4,4,4,5,4,4	5,5,4,4,5,5,4,4	2,0;2,1;0,1;1,0;1,0;1,2;0,2;1,2;0,2;2,0;0,2;2,0;2,1;1,2;0,1;2,1;0,2;0,1;0,2;0,1	0,0;1,1;1,0;0,1;1,0;0,1;1,0;0,0;0,1;0,0;0,1;0,0;1,1;0,0;0,0;1,1;0,1;0,1;0,1;0,0	1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1	0,1,0,1,0,1,1,1,0,1,1,0,1,0,0,0,1,1,0,0	3,1,-1,2,0,3,6,9,7,10,13,11,14,12,15,18,16,14,17,20	20,11,12,13,16,13,14,50,11,13,11,11,8,10,15,9,8,8,12,12	18,21
