subject	condition	generation	age	sex	group	models	totalSurveyTime	totalGameTime	finalScore	il	preCompIG	preCompOG	preCompDelta	preCompBias	preWarmIG	preWarmOG	preWarmDelta	preWarmBias	postCompIG	postCompOG	postCompDelta	postCompBias	postWarmIG	postWarmOG	postWarmDelta	postWarmBias	compDelta	warmDelta	agreeIG	agreeOG	agreeTotal	agreeBias	agreeMaxIG	agreeMaxOG	obsIG	obsOG	obsTotal	obsBias	hammingIG	hammingOG	hammingDelta
125	2	3	28	Female	1	3	31	281	24	10	3.5	4	-0.5	OG	4	3.5	0.5	IG	3	3	0	Unbiased	3.5	4	-0.5	OG	0.5	-1	15	21	36	OG	23	27	30	30	60	Unbiased	30	20	10
126	2	4	24	Male	0	3	22	138	43	10	5	3	2	IG	5	3	2	IG	5	5	0	Unbiased	5	5	0	Unbiased	-2	-2	22	15	37	IG	25	22	35	25	60	IG	21	25	-4
127	2	4	36	Male	0	3	55	347	7	13	4.5	1.5	3	IG	4	2.5	1.5	IG	4	3.5	0.5	IG	2.5	5	-2.5	OG	-2.5	-4	13	18	31	OG	23	25	30	30	60	Unbiased	31	31	0
128	2	4	35	Female	0	3	42	179	49	8	3.5	3.5	0	Unbiased	4	4	0	Unbiased	3.5	3.5	0	Unbiased	4	4	0	Unbiased	0	0	29	18	47	IG	29	19	38	22	60	IG	21	21	0
129	2	4	27	Male	1	3	58	155	68	14	3	3	0	Unbiased	2.5	3	-0.5	OG	4	3	1	IG	3	2.5	0.5	IG	1	1	22	12	34	IG	30	20	40	20	60	IG	26	30	-4
130	2	4	25	Male	1	3	36	408	25	8	4.5	4	0.5	IG	4.5	5	-0.5	OG	4.5	4	0.5	IG	5	5	0	Unbiased	0	0.5	13	16	29	OG	23	28	26	34	60	OG	27	27	0
131	2	4	42	Female	1	3	44	239	35	13	4	2.5	1.5	IG	4	3	1	IG	3.5	3	0.5	IG	4	3	1	IG	-1	0	39	3	42	IG	41	5	53	7	60	IG	19	25	-6
132	2	5	41	Male	0	3	28	135	25	10	4	3	1	IG	4	3.5	0.5	IG	4	3.5	0.5	IG	3	3.5	-0.5	OG	-0.5	-1	37	4	41	IG	44	4	55	5	60	IG	20	25	-5
133	2	5	51	Female	0	3	48	232	60	9	4	3	1	IG	3	3	0	Unbiased	4	3	1	IG	3	3	0	Unbiased	0	0	16	9	25	IG	28	20	40	20	60	IG	37	26	11
134	2	5	36	Male	0	3	31	211	73	12	4	3	1	IG	4	3.5	0.5	IG	4	3	1	IG	4	3	1	IG	0	0.5	16	20	36	OG	25	23	30	30	60	Unbiased	30	19	11
135	2	5	35	Male	1	3	185	211	36	10	4	4	0	Unbiased	3.5	3.5	0	Unbiased	3.5	3	0.5	IG	3.5	3	0.5	IG	0.5	0.5	26	12	38	IG	31	14	43	17	60	IG	22	31	-9
136	2	5	35	Female	1	3	60	301	55	13	5	4	1	IG	5	4	1	IG	5	4	1	IG	5	3.5	1.5	IG	0	0.5	18	17	35	IG	25	20	33	27	60	IG	27	20	7
137	2	5	38	Female	1	3	33	139	80	10	4.5	3.5	1	IG	4	4	0	Unbiased	5	4	1	IG	4	4	0	Unbiased	0	0	36	12	48	IG	36	12	45	15	60	IG	18	23	-5
138	2	6	20	Male	0	3	50	157	52	13	4	3	1	IG	4	3	1	IG	4	3.5	0.5	IG	4	2.5	1.5	IG	-0.5	0.5	17	22	39	OG	24	27	28	32	60	OG	24	25	-1
139	2	6	56	Male	0	3	20	175	39	11	3	3	0	Unbiased	3	3	0	Unbiased	3	3	0	Unbiased	3	3	0	Unbiased	0	0	20	18	38	IG	26	24	33	27	60	IG	25	22	3
140	2	6	49	Male	0	3	40	221	45	11	4	4	0	Unbiased	4	3	1	IG	4	4	0	Unbiased	4	4	0	Unbiased	0	-1	15	27	42	OG	22	32	25	35	60	OG	21	18	3
141	2	6	20	Female	1	3	35	312	60	10	5	4	1	IG	4	3	1	IG	5	4	1	IG	5	4	1	IG	0	0	22	14	36	IG	31	19	35	25	60	IG	25	24	1
142	2	6	64	Male	1	3	22	131	4	10	3	3	0	Unbiased	3	4	-1	OG	3	3.5	-0.5	OG	3	3.5	-0.5	OG	-0.5	0.5	10	21	31	OG	20	30	23	37	60	OG	31	28	3
143	2	6	30	Female	1	3	37	194	64	10	4	4	0	Unbiased	3	3	0	Unbiased	4	5	-1	OG	3	3.5	-0.5	OG	-1	-0.5	20	21	41	OG	27	25	29	31	60	OG	23	22	1
144	2	7	25	Female	0	3	38	226	65	10	5	2.5	2.5	IG	4	3	1	IG	5	5	0	Unbiased	4.5	4.5	0	Unbiased	-2.5	-1	45	0	45	IG	46	0	60	0	60	IG	15	25	-10
145	2	7	39	Male	0	3	36	145	25	10	4	4	0	Unbiased	4	4	0	Unbiased	4	3.5	0.5	IG	4	4	0	Unbiased	0.5	0	24	21	45	IG	27	25	34	26	60	IG	19	17	2
146	2	7	25	Male	0	3	46	250	12	12	2.5	2.5	0	Unbiased	2.5	2.5	0	Unbiased	2	2	0	Unbiased	3.5	2	1.5	IG	0	1.5	28	4	32	IG	40	6	54	6	60	IG	28	18	10
147	2	7	36	Female	1	3	111	338	22	9	4	3	1	IG	4.5	2.5	2	IG	4.5	3.5	1	IG	5	3.5	1.5	IG	0	-0.5	16	11	27	IG	33	20	38	22	60	IG	32	30	2
148	2	7	21	Female	1	3	58	213	32	11	5	3.5	1.5	IG	5	4.5	0.5	IG	4.5	3.5	1	IG	5	3	2	IG	-0.5	1.5	26	8	34	IG	34	16	42	18	60	IG	26	24	2
149	2	7	25	Male	1	3	36	368	53	12	3.5	2.5	1	IG	2.5	3	-0.5	OG	2.5	2.5	0	Unbiased	3	3	0	Unbiased	-1	0.5	20	11	31	IG	26	26	30	30	60	Unbiased	25	31	-6
150	2	8	57	Male	0	3	49	302	60	8	4.5	5	-0.5	OG	4.5	4.5	0	Unbiased	5	4.5	0.5	IG	4.5	4.5	0	Unbiased	1	0	39	4	43	IG	46	6	54	6	60	IG	16	25	-9
151	2	8	41	Male	0	3	23	195	40	7	2.5	2.5	0	Unbiased	2.5	2.5	0	Unbiased	3	2.5	0.5	IG	2.5	2.5	0	Unbiased	0.5	0	34	0	34	IG	51	0	60	0	60	IG	26	21	5
152	2	8	25	Female	0	3	32	202	37	13	3.5	1	2.5	IG	4	1	3	IG	4	1	3	IG	3.5	1	2.5	IG	0.5	-0.5	47	0	47	IG	51	0	60	0	60	IG	13	24	-11
153	2	8	35	Male	1	3	42	238	22	10	4	2.5	1.5	IG	4	2.5	1.5	IG	3	3	0	Unbiased	2	2	0	Unbiased	-1.5	-1.5	21	18	39	IG	27	24	35	25	60	IG	25	22	3
154	2	8	30	Female	1	3	60	409	30	9	5	3	2	IG	5	3	2	IG	4	4	0	Unbiased	4	4.5	-0.5	OG	-2	-2.5	21	15	36	IG	26	22	35	25	60	IG	27	22	5
155	2	8	32	Male	1	3	43	250	55	9	3.5	3.5	0	Unbiased	3.5	3.5	0	Unbiased	4	4	0	Unbiased	4.5	4.5	0	Unbiased	0	0	17	25	42	OG	23	30	27	33	60	OG	26	19	7
156	2	9	23	Male	0	3	53	302	15	13	4.5	3.5	1	IG	4	2.5	1.5	IG	3.5	2.5	1	IG	3.5	2.5	1	IG	0	-0.5	18	14	32	IG	31	21	38	22	60	IG	30	32	-2
157	2	9	32	Male	0	3	54	307	55	9	5	2.5	2.5	IG	4.5	2.5	2	IG	5	3.5	1.5	IG	5	2.5	2.5	IG	-1	0.5	15	22	37	OG	23	30	26	34	60	OG	26	24	2
158	2	9	58	Male	0	3	50	239	55	10	3	2	1	IG	3	2	1	IG	4	1	3	IG	4	1	3	IG	2	2	17	21	38	OG	23	27	28	32	60	OG	26	28	-2
159	2	9	33	Male	1	3	64	226	22	7	2.5	2.5	0	Unbiased	2	2.5	-0.5	OG	2.5	2.5	0	Unbiased	3	2.5	0.5	IG	0	1	24	12	36	IG	32	23	36	24	60	IG	21	25	-4
160	2	9	46	Female	1	3	35	201	33	11	4.5	3.5	1	IG	4.5	2.5	2	IG	4	2	2	IG	4.5	2.5	2	IG	1	0	14	14	28	Unbiased	29	22	33	27	60	IG	30	32	-2
161	2	9	22	Female	1	3	19	143	39	14	4	3	1	IG	4	3	1	IG	3	3	0	Unbiased	3	3	0	Unbiased	-1	-1	22	17	39	IG	29	20	33	27	60	IG	20	28	-8
162	3	1	32	Male	0	4	32	484	2	10	3.5	4	-0.5	OG	4.5	3	1.5	IG	4	4.5	-0.5	OG	4	3.5	0.5	IG	0	-1	36	14	50	IG	40	25	50	30	80	IG	22	33	-11
163	3	1	23	Female	0	4	31	530	27	12	3.5	3.5	0	Unbiased	3.5	3.5	0	Unbiased	3	4	-1	OG	3.5	3.5	0	Unbiased	-1	0	17	23	40	OG	28	30	39	41	80	OG	35	26	9
164	3	1	25	Male	0	4	56	256	55	12	4.5	3	1.5	IG	4.5	2	2.5	IG	4	3.5	0.5	IG	5	3	2	IG	-1	-0.5	18	22	40	OG	30	29	40	40	80	Unbiased	31	28	3
165	3	1	33	Male	1	4	56	213	20	13	5	4	1	IG	5	4	1	IG	5	4	1	IG	5	4	1	IG	0	0	24	26	50	OG	30	32	42	38	80	IG	27	22	5
166	3	1	25	Female	1	4	46	321	36	13	3.5	3.5	0	Unbiased	3.5	3	0.5	IG	3	3	0	Unbiased	3	3	0	Unbiased	0	-0.5	25	12	37	IG	37	27	49	31	80	IG	29	32	-3
167	3	1	35	Female	1	4	34	257	48	11	4.5	4	0.5	IG	4.5	4.5	0	Unbiased	4.5	4	0.5	IG	4.5	4.5	0	Unbiased	0	0	24	27	51	OG	29	29	41	39	80	IG	27	22	5
168	3	2	49	Female	0	4	53	226	46	11	3.5	3	0.5	IG	3.5	4	-0.5	OG	4	4	0	Unbiased	3.5	3	0.5	IG	-0.5	1	30	21	51	IG	34	28	45	35	80	IG	22	22	0
169	3	2	52	Female	0	4	34	286	35	14	4.5	5	-0.5	OG	4.5	4.5	0	Unbiased	4	5	-1	OG	4	5	-1	OG	-0.5	-1	20	19	39	IG	31	34	38	42	80	OG	27	31	-4
170	3	2	25	Female	0	4	27	142	30	8	2.5	3.5	-1	OG	3.5	3.5	0	Unbiased	3.5	2.5	1	IG	2.5	4	-1.5	OG	2	-1.5	21	24	45	OG	28	30	40	40	80	Unbiased	28	28	0
171	3	2	48	Male	1	4	26	153	14	12	4	3	1	IG	4	3	1	IG	4	4	0	Unbiased	4	4	0	Unbiased	-1	-1	28	6	34	IG	39	24	53	27	80	IG	28	34	-6
172	3	2	32	Female	1	4	61	506	58	9	5	5	0	Unbiased	5	5	0	Unbiased	5	5	0	Unbiased	5	5	0	Unbiased	0	0	27	22	49	IG	34	29	45	35	80	IG	26	22	4
173	3	2	47	Female	1	4	69	299	22	15	5	3.5	1.5	IG	5	4	1	IG	5	4	1	IG	5	3	2	IG	-0.5	1	18	20	38	OG	31	30	40	40	80	Unbiased	34	34	0
174	3	3	50	Female	0	4	42	215	62	8	4	4	0	Unbiased	3.5	3	0.5	IG	3.5	3	0.5	IG	3.5	3	0.5	IG	0.5	0	21	18	39	IG	34	30	43	37	80	IG	29	36	-7
175	3	3	31	Male	0	4	15	125	38	7	4.5	3.5	1	IG	3.5	3.5	0	Unbiased	3	2.5	0.5	IG	4	4	0	Unbiased	-0.5	0	27	28	55	OG	33	30	43	37	80	IG	25	22	3
176	3	3	40	Male	0	4	30	265	32	12	3.5	3.5	0	Unbiased	3.5	3.5	0	Unbiased	3	3.5	-0.5	OG	4	3.5	0.5	IG	-0.5	0.5	42	14	56	IG	45	20	57	23	80	IG	15	26	-11
177	3	3	50	Female	1	4	37	242	34	8	3.5	2.5	1	IG	2.5	2.5	0	Unbiased	3.5	4	-0.5	OG	2.5	3	-0.5	OG	-1.5	-0.5	26	23	49	IG	30	31	40	40	80	Unbiased	20	25	-5
178	3	3	43	Female	1	4	17	131	48	12	3	3	0	Unbiased	3	3	0	Unbiased	4	4	0	Unbiased	4	4	0	Unbiased	0	0	30	19	49	IG	30	31	40	40	80	Unbiased	20	29	-9
179	3	3	35	Male	1	4	44	187	45	11	3	2	1	IG	2	1	1	IG	4	3	1	IG	4	2	2	IG	0	1	27	20	47	IG	32	30	43	37	80	IG	25	28	-3
180	3	4	25	Male	0	4	213	293	30	9	3.5	2	1.5	IG	3	3	0	Unbiased	2.5	3	-0.5	OG	3	3	0	Unbiased	-2	0	24	22	46	IG	32	30	43	37	80	IG	28	27	1
181	3	4	26	Female	0	4	23	144	70	12	4	3	1	IG	4	3	1	IG	5	4	1	IG	5	4	1	IG	0	0	34	26	60	IG	34	28	42	38	80	IG	20	19	1
182	3	4	32	Female	0	4	24	126	60	12	3	3	0	Unbiased	3	3	0	Unbiased	2	5	-3	OG	3	3	0	Unbiased	-3	0	21	40	61	OG	24	41	29	51	80	OG	26	13	13
183	3	4	45	Female	1	4	55	353	44	13	4.5	5	-0.5	OG	5	5	0	Unbiased	5	5	0	Unbiased	5	5	0	Unbiased	0.5	0	26	22	48	IG	37	28	43	37	80	IG	27	30	-3
184	3	4	39	Female	1	4	59	256	40	14	3	4	-1	OG	4	3	1	IG	3.5	4	-0.5	OG	3	3	0	Unbiased	0.5	-1	28	16	44	IG	33	29	42	38	80	IG	21	32	-11
185	3	4	44	Female	1	4	48	304	5	10	4.5	4.5	0	Unbiased	4.5	4.5	0	Unbiased	4.5	4.5	0	Unbiased	4.5	4.5	0	Unbiased	0	0	20	18	38	IG	36	29	41	39	80	IG	34	31	3
186	3	5	37	Male	0	4	28	183	23	9	3	3	0	Unbiased	2	2	0	Unbiased	3	3	0	Unbiased	2	2	0	Unbiased	0	0	19	27	46	OG	33	31	40	40	80	Unbiased	29	22	7
187	3	5	35	Female	0	4	59	191	50	11	3.5	4	-0.5	OG	3.5	3	0.5	IG	3.5	3	0.5	IG	3.5	4	-0.5	OG	1	-1	29	24	53	IG	33	30	40	40	80	Unbiased	22	23	-1
188	3	5	64	Female	0	4	29	202	75	11	4	4	0	Unbiased	4	4	0	Unbiased	4	3	1	IG	4	3	1	IG	1	1	47	12	59	IG	47	20	60	20	80	IG	13	30	-17
189	3	5	56	Male	1	4	62	274	35	15	4.5	3.5	1	IG	4	3.5	0.5	IG	3.5	4.5	-1	OG	4.5	4	0.5	IG	-2	0	22	23	45	OG	34	29	47	33	80	IG	32	23	9
190	3	5	36	Female	1	4	463	127	38	10	3.5	3.5	0	Unbiased	3	3	0	Unbiased	3.5	3.5	0	Unbiased	3	3	0	Unbiased	0	0	22	23	45	OG	35	30	42	38	80	IG	27	28	-1
191	3	5	40	Female	1	4	30	180	53	9	3	3	0	Unbiased	3	2	1	IG	3	2	1	IG	3	2	1	IG	1	0	29	21	50	IG	32	29	43	37	80	IG	22	25	-3
192	3	6	27	Female	0	4	40	246	22	10	3	3.5	-0.5	OG	3.5	3.5	0	Unbiased	3	3	0	Unbiased	3.5	4	-0.5	OG	0.5	-0.5	29	25	54	IG	36	32	42	38	80	IG	22	20	2
193	3	6	30	Male	0	4	34	246	30	9	4.5	3.5	1	IG	4.5	4	0.5	IG	4.5	4	0.5	IG	3.5	3.5	0	Unbiased	-0.5	-0.5	16	24	40	OG	35	31	43	37	80	IG	34	24	10
194	3	6	35	Male	0	4	29	257	5	11	3.5	3.5	0	Unbiased	3.5	3.5	0	Unbiased	3.5	3.5	0	Unbiased	3	3.5	-0.5	OG	0	-0.5	25	23	48	IG	33	34	37	43	80	OG	19	25	-6
195	3	6	31	Female	1	4	22	189	56	12	5	5	0	Unbiased	5	5	0	Unbiased	5	5	0	Unbiased	5	5	0	Unbiased	0	0	36	10	46	IG	48	20	60	20	80	IG	24	28	-4
196	3	6	34	Male	1	4	52	194	31	15	5	2.5	2.5	IG	4	3	1	IG	4	3	1	IG	4	3	1	IG	-1.5	0	18	21	39	OG	33	33	40	40	80	Unbiased	39	29	10
197	3	6	57	Male	1	4	97	233	41	7	2	4	-2	OG	2	4	-2	OG	3	3	0	Unbiased	3	3	0	Unbiased	2	2	33	22	55	IG	37	31	45	35	80	IG	17	23	-6
198	3	7	29	Male	0	4	27	209	25	13	4	4.5	-0.5	OG	3.5	3.5	0	Unbiased	4.5	4.5	0	Unbiased	3.5	3.5	0	Unbiased	0.5	0	17	14	31	IG	28	35	36	44	80	OG	32	37	-5
199	3	7	25	Female	0	4	79	401	35	13	4	3.5	0.5	IG	4	2.5	1.5	IG	4	3.5	0.5	IG	4	3	1	IG	0	-0.5	21	18	39	IG	35	27	43	37	80	IG	30	31	-1
200	3	7	32	Female	0	4	31	204	20	8	3.5	2.5	1	IG	4	3	1	IG	4	4	0	Unbiased	4	2.5	1.5	IG	-1	0.5	17	16	33	IG	32	29	39	41	80	OG	33	36	-3
201	3	7	25	Male	1	4	35	353	32	8	4	3.5	0.5	IG	4.5	4.5	0	Unbiased	4.5	4.5	0	Unbiased	3.5	3.5	0	Unbiased	-0.5	0	29	12	41	IG	42	20	59	21	80	IG	30	21	9
202	3	7	35	Male	1	4	38	266	25	11	5	4.5	0.5	IG	5	4.5	0.5	IG	4.5	4.5	0	Unbiased	4.5	4.5	0	Unbiased	-0.5	-0.5	29	4	33	IG	43	20	60	20	80	IG	31	44	-13
203	3	7	47	Male	1	4	40	309	58	11	4.5	2	2.5	IG	5	1	4	IG	4.5	2	2.5	IG	4	1	3	IG	0	-1	19	25	44	OG	29	37	34	46	80	OG	30	25	5
204	3	8	47	Male	0	4	69	248	66	12	4	3	1	IG	3	3	0	Unbiased	4.5	4	0.5	IG	4	3.5	0.5	IG	-0.5	0.5	34	27	61	IG	34	31	40	40	80	Unbiased	12	23	-11
205	3	8	41	Male	0	4	69	194	22	10	5	3	2	IG	4.5	2.5	2	IG	4.5	4	0.5	IG	5	2.5	2.5	IG	-1.5	0.5	19	15	34	IG	36	28	43	37	80	IG	36	33	3
206	3	8	27	Female	0	4	26	131	58	12	3	3	0	Unbiased	3	3	0	Unbiased	5	5	0	Unbiased	5	5	0	Unbiased	0	0	26	23	49	IG	35	28	42	38	80	IG	22	23	-1
207	3	8	41	Male	1	4	53	240	15	9	3.5	3	0.5	IG	4.5	3	1.5	IG	3.5	3.5	0	Unbiased	3.5	3	0.5	IG	-0.5	-1	36	11	47	IG	45	20	59	21	80	IG	24	25	-1
208	3	8	21	Female	1	4	26	234	60	13	5	5	0	Unbiased	5	5	0	Unbiased	5	5	0	Unbiased	5	5	0	Unbiased	0	0	23	28	51	OG	29	39	35	45	80	OG	23	22	1
209	3	8	29	Male	1	4	41	358	30	11	4	3.5	0.5	IG	3	3.5	-0.5	OG	3.5	3.5	0	Unbiased	3.5	3.5	0	Unbiased	-0.5	0.5	27	28	55	OG	31	33	42	38	80	IG	21	16	5
210	3	9	23	Female	0	4	24	121	66	12	4	3.5	0.5	IG	3.5	3.5	0	Unbiased	3.5	4	-0.5	OG	3.5	3.5	0	Unbiased	-1	0	29	28	57	IG	31	32	41	39	80	IG	20	17	3
211	3	9	41	Male	0	4	41	264	27	10	4.5	4.5	0	Unbiased	4.5	4.5	0	Unbiased	3.5	4	-0.5	OG	4	4	0	Unbiased	-0.5	0	22	21	43	IG	32	38	37	43	80	OG	27	30	-3
212	3	9	41	Male	0	4	51	238	0	9	4.5	4.5	0	Unbiased	4.5	4.5	0	Unbiased	4.5	4.5	0	Unbiased	4.5	4.5	0	Unbiased	0	0	14	5	19	IG	32	36	41	39	80	IG	40	47	-7
213	3	9	43	Female	1	4	23	130	5	9	3.5	4	-0.5	OG	4	3.5	0.5	IG	4.5	3	1.5	IG	5	3.5	1.5	IG	2	1	14	13	27	IG	47	21	57	23	80	IG	44	37	7
214	3	9	35	Female	1	4	27	125	30	10	3.5	3.5	0	Unbiased	3	3	0	Unbiased	2.5	2.5	0	Unbiased	2	2	0	Unbiased	0	0	20	19	39	IG	31	28	40	40	80	Unbiased	29	30	-1
215	3	9	33	Male	1	4	17	133	66	15	3	3	0	Unbiased	3	3	0	Unbiased	3	3	0	Unbiased	3	3	0	Unbiased	0	0	33	29	62	IG	36	33	39	41	80	OG	11	18	-7
